company,sector,total_nodes,total_edges,data_nodes,actor_nodes,density,avg_degree,unique_relationships
KKR_&_Co.,Financial,45,46,42,3,0.02323,2.044,2
KLA_Corporation,IT,9,8,5,4,0.11111,1.778,1
KeyCorp,Financial,19,18,14,5,0.05263,1.895,2
Keysight_Technologies,IT,18,18,11,7,0.05882,2.0,2
Labcorp,Healthcare,21,21,13,8,0.05,2.0,2
Lam_Research,IT,8,7,6,2,0.125,1.75,1
Lilly_(Eli),Healthcare,62,72,29,33,0.01904,2.323,2
Loews_Corporation,Financial,0,0,0,0,0.0,0.0,0
MSCI_Inc.,Financial,31,29,24,7,0.03118,1.871,2
MarketAxess,Financial,18,17,10,8,0.05556,1.889,2
Marsh_McLennan,Financial,24,25,17,7,0.04529,2.083,2
Mastercard,Financial,68,79,48,20,0.01734,2.324,2
McKesson_Corporation,Healthcare,27,31,19,8,0.04416,2.296,2
Merck_&_Co.,Healthcare,3,2,1,2,0.33333,1.333,1
MetLife,Financial,10,9,8,2,0.1,1.8,2
Microchip_Technology,IT,28,30,23,5,0.03968,2.143,2
Micron_Technology,IT,42,52,37,5,0.0302,2.476,2
Microsoft,IT,318,403,231,87,0.004,2.535,2
Moderna,Healthcare,54,62,45,9,0.02166,2.296,2
Molina_Healthcare,Healthcare,22,21,16,6,0.04545,1.909,2
Monolithic_Power_Systems,IT,22,21,17,5,0.04545,1.909,2
Moody_s_Corporation,Financial,51,63,38,13,0.02471,2.471,2
Morgan_Stanley,Financial,30,29,22,8,0.03333,1.933,2
Motorola_Solutions,IT,70,80,44,26,0.01656,2.286,2
NXP_Semiconductors,IT,12,11,8,4,0.08333,1.833,2
"Nasdaq,_Inc.",Financial,49,50,32,17,0.02126,2.041,2
NetApp,IT,13,14,5,8,0.08974,2.154,2
Nvidia,IT,61,74,54,7,0.02022,2.426,2
ON_Semiconductor,IT,74,90,59,15,0.01666,2.432,2
Oracle_Corporation,IT,54,66,47,7,0.02306,2.444,2
PTC_Inc.,IT,35,36,23,12,0.03025,2.057,2
Palantir_Technologies,IT,50,55,40,10,0.02245,2.2,2
Palo_Alto_Networks,IT,130,171,91,39,0.0102,2.631,2
PayPal,Financial,103,125,82,21,0.0119,2.427,2
Pfizer,Healthcare,53,65,45,8,0.02358,2.453,2
Progressive_Corporation,Financial,24,24,15,9,0.04348,2.0,2
Prudential_Financial,Financial,18,16,12,6,0.05229,1.778,2
Qualcomm,IT,58,59,50,8,0.01785,2.034,2
Quest_Diagnostics,Healthcare,33,33,24,9,0.03125,2.0,2
Regeneron_Pharmaceuticals,Healthcare,57,78,50,7,0.02444,2.737,2
Regions_Financial_Corporation,Financial,19,19,15,4,0.05556,2.0,2
ResMed,Healthcare,50,52,38,12,0.02122,2.08,2
Revvity,Healthcare,27,25,16,11,0.03561,1.852,2
Roper_Technologies,IT,27,28,18,9,0.03989,2.074,2
S&P_Global,Financial,59,59,45,14,0.01724,2.0,2
Salesforce,IT,86,110,73,13,0.01505,2.558,2
Seagate_Technology,IT,27,27,21,6,0.03846,2.0,2
Skyworks_Solutions,IT,19,16,12,7,0.04678,1.684,1
Solventum,Healthcare,15,14,6,9,0.06667,1.867,2
State_Street_Corporation,Financial,16,17,8,8,0.07083,2.125,2
Steris,Healthcare,65,76,28,37,0.01827,2.338,2
Stryker_Corporation,Healthcare,15,14,6,9,0.06667,1.867,2
Supermicro,IT,65,71,46,19,0.01707,2.185,2
Synchrony_Financial,Financial,63,83,41,22,0.02125,2.635,2
Synopsys,IT,2,1,1,1,0.5,1.0,1
T._Rowe_Price,Financial,37,37,19,18,0.02778,2.0,2
TE_Connectivity,IT,5,4,4,1,0.2,1.6,2
Teledyne_Technologies,IT,37,42,28,9,0.03153,2.27,2
Teradyne,IT,35,39,26,9,0.03277,2.229,2
Texas_Instruments,IT,20,23,14,6,0.06053,2.3,2
Thermo_Fisher_Scientific,Healthcare,23,23,10,13,0.04545,2.0,2
